# 简单词白名单（按词形，含变形）。tag: zk=中考 gk=高考 cet4 ielts ngsl5k=NGSL 前5000词面形
# 由 /tmp/wordlists 生成后固化进仓库，供改写校验复现用。生成时间 2026-09-19
a	gk
a	ngsl5k
a	zk
abandon	cet4
abandon	gk
abandon	ngsl5k
abandoned	ngsl5k
abandoning	ngsl5k
abandonings	ngsl5k
abandons	ngsl5k
abbreviation	ielts
abilities	ngsl5k
ability	cet4
ability	gk
ability	ielts
ability	ngsl5k
ability	zk
able	gk
able	ngsl5k
able	zk
abled	ngsl5k
abler	ngsl5k
ables	ngsl5k
ablest	ngsl5k
abling	ngsl5k
ablings	ngsl5k
abnormal	cet4
abnormal	gk
abnormal	ielts
aboard	cet4
aboard	gk
abolish	gk
abolish	ielts
aboriginal	ielts
abort	ielts
abortion	gk
abortion	ielts
abortion	ngsl5k
abortions	ngsl5k
abound	ielts
about	gk
about	ngsl5k
about	zk
abouts	ngsl5k
above	gk
above	ngsl5k
above	zk
abrasion	ielts
abridge	ielts
abroad	gk
abroad	ngsl5k
abroad	zk
abroads	ngsl5k
abrupt	gk
abrupt	ielts
absence	cet4
absence	gk
absence	ngsl5k
absences	ngsl5k
absent	cet4
absent	gk
absent	zk
absolute	cet4
absolute	gk
absolute	ngsl5k
absolutely	cet4
absolutely	ngsl5k
absolutes	ngsl5k
absorb	cet4
absorb	gk
absorb	ielts
abstract	cet4
abstract	gk
abstract	ielts
abstract	ngsl5k
abstracted	ngsl5k
abstracting	ngsl5k
abstractings	ngsl5k
abstracts	ngsl5k
absurd	gk
absurd	ielts
abundance	ielts
abundant	cet4
abundant	gk
abuse	cet4
abuse	gk
abuse	ielts
abuse	ngsl5k
abused	ngsl5k
abuses	ngsl5k
abusing	ngsl5k
abusings	ngsl5k
academic	cet4
academic	gk
academic	ielts
academic	ngsl5k
academick	ngsl5k
academics	ngsl5k
academy	cet4
academy	gk
accelerate	cet4
accelerate	gk
accelerate	ielts
acceleration	cet4
accent	cet4
accent	gk
accent	zk
accept	cet4
accept	gk
accept	ngsl5k
accept	zk
acceptable	cet4
acceptable	ngsl5k
acceptables	ngsl5k
acceptance	cet4
accepted	ngsl5k
accepting	ngsl5k
acceptings	ngsl5k
accepts	ngsl5k
access	cet4
access	gk
access	ielts
access	ngsl5k
accessed	ngsl5k
accesses	ngsl5k
accessible	gk
accessible	ielts
accessing	ngsl5k
accessings	ngsl5k
accessory	cet4
accessory	ielts
accident	cet4
accident	gk
accident	ngsl5k
accident	zk
accidental	cet4
accidents	ielts
accidents	ngsl5k
acclaim	ielts
accommodate	cet4
accommodate	ielts
accommodation	cet4
accommodation	gk
accommodation	ielts
accommodation	ngsl5k
accommodations	ielts
accommodations	ngsl5k
accompanied	ngsl5k
accompanies	ngsl5k
accompany	cet4
accompany	gk
accompany	ielts
accompany	ngsl5k
accompanying	ngsl5k
accompanyings	ngsl5k
accomplish	cet4
accomplish	gk
accomplish	ielts
accomplish	ngsl5k
accomplished	ngsl5k
accomplishes	ngsl5k
accomplishing	ngsl5k
accomplishings	ngsl5k
accord	cet4
accord	ielts
accord	ngsl5k
accordance	cet4
accorded	ngsl5k
according	ngsl5k
accordingly	cet4
accordings	ngsl5k
accords	ngsl5k
account	cet4
account	gk
account	ielts
account	ngsl5k
accountant	gk
accountant	ielts
accountants	ielts
accounted	ngsl5k
accounting	ielts
accounting	ngsl5k
accountings	ngsl5k
accounts	ngsl5k
accumulate	cet4
accumulate	gk
accumulate	ielts
accuracy	cet4
accuracy	gk
accuracy	ielts
accurate	cet4
accurate	ielts
accurate	ngsl5k
accuse	cet4
accuse	gk
accuse	ielts
accuse	ngsl5k
accused	ngsl5k
accuser	ielts
accuses	ngsl5k
accusing	ngsl5k
accusings	ngsl5k
accustom	cet4
accustomed	cet4
accustomed	gk
ache	cet4
ache	gk
ache	zk
achieve	cet4
achieve	gk
achieve	ielts
achieve	ngsl5k
achieve	zk
achieved	ngsl5k
achieveing	ngsl5k
achieveings	ngsl5k
achievement	cet4
achievement	gk
achievement	ielts
achievement	ngsl5k
achievements	ngsl5k
achieves	ngsl5k
achieving	ngsl5k
acid	cet4
acid	gk
acid	ielts
acknowledge	cet4
acknowledge	gk
